Feature,Importance
ExterQual_TA,0.25736117
OverallQual,0.12579589
GarageCars,0.078414075
KitchenQual_TA,0.054345448
GarageFinish_Unf,0.04104729
CentralAir_Y,0.037621856
KitchenAbvGr,0.03460712
Fireplaces,0.03010986
GrLivArea,0.030052872
MSZoning_RM,0.02622344
YearBuilt,0.014637056
GarageType_Detchd,0.012238656
TotalBsmtSF,0.010005763
Functional_Sev,0.009813687
BsmtFinType1_Unf,0.0066613625
BsmtExposure_No,0.0066257273
Neighborhood_Edwards,0.006484265
BsmtFinType1_GLQ,0.0063539357
Neighborhood_OldTown,0.006313162
YearRemodAdd,0.006098174
OverallCond,0.0060496824
Functional_Typ,0.0059479084
Neighborhood_Crawfor,0.005765615
SaleCondition_Partial,0.005554335
MSZoning_RL,0.005339854
BsmtFinSF1,0.0051601008
RoofStyle_Gable,0.0048874374
PoolArea,0.0045480714
GarageArea,0.0043008253
BsmtQual_TA,0.004213208
BsmtFullBath,0.0039603724
Neighborhood_ClearCr,0.0039453646
Exterior1st_BrkFace,0.0038757573
SaleType_New,0.0035902914
1stFlrSF,0.003526389
LotShape_Reg,0.0032856488
Condition2_Norm,0.0032632921
HeatingQC_Fa,0.0032322546
LotArea,0.003108787
GarageType_CarPort,0.0029543496
GarageType_Attchd,0.00292841
HouseStyle_2Story,0.0028115988
Functional_Mod,0.0027964993
2ndFlrSF,0.0027174419
TotRmsAbvGrd,0.002675914
BsmtExposure_Gd,0.002468121
BsmtQual_Gd,0.0022660566
ExterCond_Fa,0.0022348724
Foundation_PConc,0.0021835922
Condition1_Feedr,0.0020823784
OpenPorchSF,0.0020709927
BedroomAbvGr,0.0020674635
Condition1_Norm,0.001957181
ScreenPorch,0.0018465517
Exterior1st_BrkComm,0.0017473572
Exterior2nd_MetalSd,0.0017461443
SaleCondition_Alloca,0.0014854214
SaleCondition_Normal,0.001473993
GarageYrBlt,0.0014685489
FireplaceQu_Po,0.0014360563
SaleCondition_Family,0.0014348025
Heating_GasA,0.001424076
PavedDrive_Y,0.0013907223
ExterCond_Gd,0.001363204
HouseStyle_SLvl,0.0013117916
Neighborhood_StoneBr,0.0013045659
HouseStyle_1Story,0.001247296
Neighborhood_Somerst,0.0012073928
EnclosedPorch,0.0011926526
Foundation_CBlock,0.0011733869
HouseStyle_2.5Unf,0.0011474628
LotFrontage,0.0011357507
Neighborhood_BrkSide,0.0011351076
LandContour_HLS,0.0011234165
LotConfig_CulDSac,0.0011089463
FullBath,0.0011075032
Exterior1st_HdBoard,0.0010723113
ExterCond_TA,0.0010492938
WoodDeckSF,0.0010382917
Condition1_RRAe,0.0010202238
HalfBath,0.0009959894
Neighborhood_NAmes,0.0008530988
LandContour_Lvl,0.00081502734
MoSold,0.0008076694
Neighborhood_MeadowV,0.0007943355
Exterior1st_MetalSd,0.00078908005
RoofMatl_CompShg,0.00075240765
SaleType_WD,0.00075017795
Neighborhood_Mitchel,0.00074353913
Exterior2nd_Wd Sdng,0.0007371915
GarageQual_TA,0.00073718105
MSZoning_FV,0.0007279552
LandContour_Low,0.0007265393
BsmtFinType2_BLQ,0.0006996924
YrSold,0.00067058863
GarageType_Basment,0.00066028594
BsmtFinType2_Unf,0.0006553836
FireplaceQu_TA,0.00064904656
BsmtFinType1_Rec,0.00064048247
Neighborhood_SWISU,0.0006282715
Functional_Min1,0.00062418
Exterior2nd_HdBoard,0.00061491237
BsmtUnfSF,0.00061471417
Exterior1st_VinylSd,0.0006114208
MasVnrArea,0.00060485123
MSSubClass,0.00060087134
Neighborhood_NWAmes,0.00060077506
LotConfig_Inside,0.00059319433
Condition1_PosN,0.0005819978
Exterior2nd_Wd Shng,0.0005791986
Exterior1st_Plywood,0.0005569937
RoofStyle_Gambrel,0.0005558871
BsmtFinSF2,0.00055029517
Exterior2nd_Plywood,0.0005444709
HeatingQC_Gd,0.0005419247
Electrical_FuseF,0.0005374186
Electrical_SBrkr,0.0005369026
Neighborhood_NridgHt,0.0005325457
HeatingQC_TA,0.00053051184
BldgType_Duplex,0.000528013
LotConfig_FR2,0.0005234356
Condition1_PosA,0.000509484
MiscVal,0.00048442394
RoofMatl_Tar&Grv,0.00047930027
KitchenQual_Gd,0.00047214146
Exterior2nd_VinylSd,0.00047096322
RoofStyle_Hip,0.0004702241
BsmtHalfBath,0.00046686473
BldgType_TwnhsE,0.00045175914
Exterior1st_WdShing,0.00045017197
Foundation_Wood,0.00044380696
LandSlope_Mod,0.0004293814
BsmtCond_Gd,0.0004265236
FireplaceQu_Gd,0.0004186249
Id,0.00040624253
LotShape_IR2,0.00040552867
Exterior1st_Wd Sdng,0.00039610596
BsmtFinType1_BLQ,0.00039131168
PavedDrive_P,0.00037891298
BsmtCond_TA,0.00037392278
Neighborhood_Timber,0.00037024848
3SsnPorch,0.0003624451
ExterQual_Gd,0.00036085883
BsmtFinType1_LwQ,0.0003573036
MSZoning_RH,0.00035154526
GarageFinish_RFn,0.00033852496
Neighborhood_SawyerW,0.00033840263
GarageCond_TA,0.00033740397
SaleType_ConLD,0.0003354564
HouseStyle_SFoyer,0.00033301694
FireplaceQu_Fa,0.0003302547
Exterior1st_Stucco,0.00032804644
Neighborhood_Veenker,0.00032234375
Neighborhood_CollgCr,0.00030618993
Heating_Grav,0.00029345966
Functional_Maj2,0.00029263843
LowQualFinSF,0.00028462644
Neighborhood_Sawyer,0.0002721268
GarageCond_Fa,0.0002711038
Neighborhood_NoRidge,0.00027027336
Exterior2nd_Brk Cmn,0.00026859128
LotShape_IR3,0.00025750409
Exterior2nd_CmentBd,0.00025498378
Exterior1st_CemntBd,0.00025014312
KitchenQual_Fa,0.00024601564
Exterior2nd_Stucco,0.00024290355
BsmtFinType2_Rec,0.00022997815
Foundation_Slab,0.00022583974
Neighborhood_IDOTRR,0.00021968117
BsmtQual_Fa,0.00021895736
BsmtExposure_Mn,0.00018964228
GarageQual_Gd,0.00018590574
BldgType_Twnhs,0.00017984043
SaleType_ConLw,0.00017909885
Neighborhood_BrDale,0.00017411208
Neighborhood_Gilbert,0.00017366241
SaleType_Oth,0.00013682924
GarageQual_Fa,0.00013460274
BsmtFinType2_LwQ,0.00012924516
Condition1_RRAn,0.00012585973
HouseStyle_1.5Unf,0.000117404066
GarageType_BuiltIn,0.00010322454
SaleType_ConLI,8.957364e-05
Exterior2nd_ImStucc,7.574366e-05
Electrical_FuseP,7.2848554e-05
Functional_Min2,5.2498828e-05
GarageCond_Gd,4.37261e-05
LotConfig_FR3,3.974928e-05
SaleType_CWD,2.830582e-05
Condition2_RRAe,0.0
Condition2_RRNn,0.0
BldgType_2fmCon,0.0
Condition2_Feedr,0.0
Condition2_PosN,0.0
Condition1_RRNe,0.0
Condition1_RRNn,0.0
Utilities_NoSeWa,0.0
Neighborhood_NPkVill,0.0
LandSlope_Sev,0.0
Neighborhood_Blueste,0.0
Street_Pave,0.0
Condition2_PosA,0.0
HouseStyle_2.5Fin,0.0
Condition2_RRAn,0.0
ExterQual_Fa,0.0
ExterCond_Po,0.0
BsmtCond_Po,0.0
Foundation_Stone,0.0
RoofMatl_Metal,0.0
RoofMatl_Roll,0.0
RoofStyle_Mansard,0.0
RoofMatl_WdShake,0.0
RoofMatl_WdShngl,0.0
Exterior1st_ImStucc,0.0
Exterior1st_Stone,0.0
Exterior2nd_AsphShn,0.0
Exterior2nd_BrkFace,0.0
Exterior2nd_CBlock,0.0
RoofStyle_Shed,0.0
RoofMatl_Membran,0.0
Exterior1st_CBlock,0.0
Exterior1st_AsphShn,0.0
Exterior2nd_Other,0.0
